aazyear,paper,affiliations
2019,Dynamic Local Regret for Non-convex Online Forecasting,Amazon Web Services
2019,"Write, Execute, Assess: Program Synthesis with a REPL","Cornell, MIT"
2019,Conformalized Quantile Regression,"Assistant Professor of Electrical Engineering and Computer Science, Technion, Israel"
2019,High-Dimensional Optimization in Adaptive Random Subspaces,Stanford University
2019,Cold Case: The Lost MNIST Digits,UC San Diego
2019,RUBi: Reducing Unimodal Biases for Visual Question Answering,Sorbonne University
2019,Text-Based Interactive Recommendation via Constraint-Augmented Reinforcement Learning,Adobe Research
2019,Learning to Correlate in Multi-Player General-Sum Sequential Games,"Assistant Professor, Bocconi University"
2019,Learning Sample-Specific Models with Low-Rank Personalized Regression,"MIT, Broad Institute"
2019,Learning Reward Machines for Partially Observable Reinforcement Learning,University of Toronto
2019,Addressing Sample Complexity in Visual Tasks Using HER and Hallucinatory GANs,Student at Georgia Institute of Technology
2019,Unsupervised Scalable Representation Learning for Multivariate Time Series,"Sorbonne Université, LIP6"
2019,Bayesian Learning of Sum-Product Networks,"Machine learning researcher, Aalto University"
2019,Policy Optimization Provably Converges to Nash Equilibria in Zero-Sum Linear Quadratic Games,"LIDS and CSAIL, Massachusetts Institute of Technology"
2019,Real-Time Reinforcement Learning,"Mila, Universty of Montreal"
2019,Discriminative Topic Modeling with Logistic LDA,Ghent University
2019,Streaming Bayesian Inference for Crowdsourced Classification,University of Manchester
2019,Disentangling Influence: Using disentangled representations to audit model predictions,Stanford University
2019,Demystifying Black-box Models with Symbolic Metamodels,"Broad institute of MIT and Harvard, Massachusetts Institute of Technology"
2019,U-Time: A Fully Convolutional Network for Time Series Segmentation Applied to Sleep Staging,"PhD Student @ Department of Computer Science, University of Copenhagen"
2019,Meta-Curvature,SungKyunKwan University
2019,Exploration via Hindsight Goal Generation,University of Illinois at Urbana-Champaign
2019,Reducing Noise in GAN Training with Variance Reduced Extragradient,University of California Berkeley
2019,Knowledge Extraction with No Observable Data,PhD Candidate at Seoul National University
2019,Neural Jump Stochastic Differential Equations,Facebook AI
2019,Learning about an exponential amount of conditional distributions,Montreal Institute for Learning Algorithms
2019,Statistical bounds for entropic optimal transport: sample complexity and the central limit theorem,University of Oxford
2019,Scalable Bayesian dynamic covariance modeling with variational Wishart and inverse Wishart processes,"Ministry of Health, Singapore"
2019,Variational Bayesian Decision-making for Continuous Utilities,University of Helsinki
2019,Optimal Sparsity-Sensitive Bounds for  Distributed Mean Estimation,Fudan University
2019,Search on the Replay Buffer: Bridging Planning and Reinforcement Learning,"CMU, Google"
2019,Transductive Zero-Shot Learning with Visual Structure Constraint,City University of Hong Kong
2019,Certainty Equivalence is Efficient for Linear Quadratic Control,Massachusetts Institute of Technology
2019,Stein Variational Gradient Descent With Matrix-Valued Kernels,Facebook
2019,Universality and individuality in neural dynamics across large populations of recurrent networks,Google Brain
2019,When to Trust Your Model: Model-Based Policy Optimization,UC Berkeley
2019,Blind Super-Resolution Kernel Estimation using an Internal-GAN,Weizmann Institute of Science
2019,Is Deeper Better only when Shallow is Good?,"School of Computer Science, Hebrew University"
2019,Deep Leakage from Gradients,"Ph.D. student, MIT"
2019,Pure Exploration with Multiple Correct Answers,INRIA Lille
2019,The Thermodynamic Variational Objective,University of British Columbia
2019,Learning Imbalanced Datasets with Label-Distribution-Aware Margin Loss,Stanford University
2019,"Learning and Generalization in Overparameterized Neural Networks, Going Beyond Two Layers",Microsoft Research Redmond
2019,Approximation Ratios of Graph Neural Networks for Combinatorial Problems,Kyoto University
2019,Variational Denoising Network: Toward Blind Noise Modeling and Removal,The University of Hong Kong
2019,Multi-task Learning for Aggregated Data using Gaussian Processes,The University of Sheffield
2019,Keeping Your Distance: Solving Sparse Reward Tasks Using Self-Balancing Shaped Rewards,Salesforce Research
2019,Efficient characterization of electrically evoked responses for neural interfaces,"Graduate Student, Stanford University"
2019,The Synthesis of XNOR Recurrent Neural Networks with Stochastic Logic,McGill University
2019,McDiarmid-Type Inequalities for Graph-Dependent Variables and Stability Bounds,"School of Mathematics, Monash University"
2019,Are deep ResNets provably better than linear predictors?,"PhD Student, Massachusetts Institute of Technology"
2019,Hyperparameter Learning via Distributional Transfer,"DPhil in Statistics, University Of Oxford"
2019,Levenshtein Transformer,Facebook AI Research
2019,Enhancing the Locality and Breaking the Memory Bottleneck of Transformer on Time Series Forecasting,"University of California, Santa Barbara"
2019,Updates of Equilibrium Prop Match Gradients of Backprop Through Time in an RNN with Static Input,Research Scientist @ IBM Research
2019,Image Captioning: Transforming Objects into Words,"Research Scientist, Yahoo Research"
2019,Uncoupled Regression from Pairwise Comparison Data,The University of Tokyo
2019,No-Regret Learning in Unknown Games with Correlated Payoffs,ETH Zürich
2019,Semantic Conditioned Dynamic Modulation for Temporal Sentence Grounding in Videos,Meituan
2019,Structured Variational Inference in Continuous Cox Process Models,University of Warwick
2019,Channel Gating Neural Networks,Cornell University
2019,Rethinking Generative Mode Coverage: A Pointwise Guaranteed Approach,Google Research
2019,A Domain Agnostic Measure for Monitoring and Evaluating GANs,ETH Zurich
2019,Enabling hyperparameter optimization in sequential autoencoders for spiking neural data,Apple
2019,Grid Saliency for Context Explanations of Semantic Segmentation,ETH Zürich
2019,DM2C: Deep Mixed-Modal Clustering,"Institute of Information Engineering, Chinese Academy of Sciences"
2019,Fast AutoAugment,"Assistant Professor, UNIST, Artificial Intelligence & Industrial Engineering"
2019,Variance Reduction for Matrix Games,Tel Aviv University
2019,Efficient Forward Architecture Search,Carnegie Mellon University
2019,"Poincaré Recurrence, Cycles and Spurious Equilibria in Gradient-Descent-Ascent for Non-Convex Non-Concave Zero-Sum Games","PhD Candidate in Computer Science, Columbia University"
2019,End-to-End Learning on 3D Protein Structure for Interface Prediction,"Founder & CEO, Atomic AI"
2019,Positional Normalization,Cornell University
2019,Efficient Probabilistic Inference in the Quest for Physics Beyond the Standard Model,University of Oxford
2019,Algorithm-Dependent Generalization Bounds for Overparameterized Deep Residual Networks,"Postdoctoral Researcher, UC Berkeley"
2019,A unified theory for the origin of grid cells through the lens of pattern formation,Stanford University
2019,Functional Adversarial Attacks,"University of California, Berkeley"
2019,Learning search spaces for Bayesian optimization: Another view of hyperparameter transfer learning,"Applied Science Manager, Amazon"
2019,Image Synthesis with a Single (Robust) Classifier,"Postdoc, Stanford University"
2019,Unsupervised State Representation Learning in Atari,"Mila, Université de Montréal"
2019,Meta Learning with Relational Information for Short Sequences,"Researcher in machine learning, Microsoft"
2019,Private Learning Implies Online Learning: An Efficient Reduction,OrCam
2019,Kernel quadrature with DPPs,ENS Lyon
2019,Learning Temporal Pose Estimation from Sparsely-Labeled Videos,"Assistant Professor, University of North Carolina at Chapel Hill"
2019,Learning Generalizable Device Placement Algorithms for Distributed Machine Learning,Massachusetts Institute of Technology
2019,On the equivalence between graph isomorphism testing and function approximation with GNNs,New York University
2019,SPoC: Search-based Pseudocode to Code,Stanford University
2019,Oblivious Sampling Algorithms for Private Data Analysis,University of Waterloo
2019,On Relating Explanations and Adversarial Examples,"Faculty of Information Technology, Monash University"
2019,Greedy Sampling for Approximate Clustering in the Presence of Outliers,University of Utah
2019,Understanding the Representation Power of Graph Neural Networks in Learning Graph Topology,"CSSI, Kellogg School of Management, Northwestern University"
2019,Single-Model Uncertainties for Deep Learning,Swiss Data Science Center
2019,Wasserstein Weisfeiler-Lehman Graph Kernels,COO @Visium; PhD from ETH Zurich
2019,DATA: Differentiable ArchiTecture Approximation,"Researcher, Huawei Cloud; before at NLPR, CASIA"
2019,Fast Structured Decoding for Sequence Models,"Language Technologies Institute, Carnegie Mellon University"
2019,Comparison Against Task Driven Artificial Neural Networks Reveals Functional Properties in Mouse Visual Cortex,University of Washington
2019,Interpreting and improving natural-language processing (in machines) with  natural language-processing (in the brain),Carnegie Mellon University
2019,Adversarial training for free!,"Graduate Research Assistant, University of Maryland"
2019,Guided Similarity Separation for Image Retrieval,Layer6 AI
2019,Rethinking Deep Neural Network Ownership Verification: Embedding Passports to Defeat Ambiguity Attacks,WeBank
2019,Addressing Failure Prediction by Learning Model Confidence,CNAM / Valeo.AI
2019,Towards Automatic Concept-based Explanations,PhD Student
2019,Brain-Like Object Recognition with High-Performing Shallow Recurrent ANNs,Co-Founder @ Three Thirds
2019,Logarithmic Regret for Online Control,"Senior Research Scientist, Google AI Princeton"
2019,Offline Contextual Bayesian Optimization,"PhD Student, Carnegie Mellon"
2019,Uncertainty on Asynchronous Time Event Prediction,"PhD student, Technical University of Munich"
2019,Hierarchical Decision Making by Generating and Following Natural Language Instructions,Facebook AI Research
2019,Accelerating Rescaled Gradient Descent: Fast Optimization of Smooth Functions,Assistant Professor at MIT
2019,Reconciling meta-learning and continual learning with online mixtures of tasks,"Duke University, UC Berkeley, Google Brain"
2019,Neural Spline Flows,DeepMind
2019,Embedding Symbolic Knowledge into Deep Networks,National University of Singapore
2019,Sparse Variational Inference: Bayesian Coresets from Scratch,"Assistant Professor, Statistics, UBC"
2019,Learning Hierarchical Priors in VAEs,"PhD Student, Technical University of Munich"
2019,From voxels to pixels and back: Self-supervision in natural-image reconstruction from fMRI,"PhD student, Weizmann institute"
2019,Reverse KL-Divergence Training of Prior Networks: Improved Uncertainty and Adversarial Robustness,"Senior Research Scientist, Yandex Research"
2019,Adversarial Fisher Vectors for Unsupervised Representation Learning,Apple Inc.
2019,Dichotomize and Generalize: PAC-Bayesian Binary Activated Deep Neural Networks,"PhD Student, Laval University"
2019,Coresets for Archetypal Analysis,Leuphana University Lüneburg
2019,List-decodable Linear Regression,The University of Texas at Austin
2019,Infra-slow brain dynamics as a marker for cognitive function and decline,Indian Institute of Science
2019,Statistical Analysis of Nearest Neighbor Methods for Anomaly Detection,Carnegie Mellon University
2019,Full-Gradient Representation for Neural Network Visualization,Research Assistant at Idiap Research Institute / PhD student at EPFL
2019,The Implicit Metropolis-Hastings Algorithm,
2019,Coresets for Clustering with Fairness Constraints,Huawei TCS Lab
2019,Rethinking the CSC Model for Natural Images,"Computer Science Department, Technion"
2019,Max-value Entropy Search for Multi-Objective Bayesian Optimization,Washington State University
2019,Algorithmic Guarantees for Inverse Imaging with Untrained Network Priors,"PhD Student, New York University"
2019,Failing Loudly: An Empirical Study of Methods for Detecting Dataset Shift,University of Toronto / Vector Institute for Artificial Intelligence
2019,Shadowing Properties of Optimization Algorithms,"PhD student, ETH Zürich"
2019,Bayesian Batch Active Learning as Sparse Subset Approximation,"PhD Student, University of Cambridge"
2019,On the Ineffectiveness of Variance Reduced Optimization for Deep Learning,Facebook AI Research
2019,Putting An End to End-to-End: Gradient-Isolated Learning of Representations,University of Amsterdam
2019,Modular Universal Reparameterization: Deep Multi-task Learning Across Diverse Domains,Cognizant AI Labs
2019,Decentralized Cooperative Stochastic Bandits,University of Oxford
2019,Powerset Convolutional Neural Networks,ETH Zürich
2019,"Non-Stationary Markov Decision Processes, a Worst-Case Approach using Model-Based Reinforcement Learning",PhD in Computer Science
2019,Continual Unsupervised Representation Learning,DeepMind
2019,Multiple Futures Prediction,Deep Learning Startup
2019,Multiview Aggregation for Learning Category-Specific Shape Reconstruction,"Assistant Professor of Computer Science, Brown University"
2019,Reinforcement Learning with Convex Constraints,Princeton University
2019,Learning Hawkes Processes from a handful of events,Ph. D. Student at EPFL
2019,"Accurate, reliable and fast robustness evaluation","Emmy Noether Fellow, University of Tübingen"
2019,"UniXGrad: A Universal, Adaptive Algorithm with Optimal Guarantees for Constrained Optimization","Doctoral Assistant, LIONS, EPFL"
2019,Third-Person Visual Imitation Learning via Decoupled Hierarchical Controller,"PhD Student, Massachusetts Institute of Technology"
2019,Learning from Bad Data via Generation,Peking University
2019,Hierarchical Optimal Transport for Document Representation,"Research Staff Member, IBM Research AI"
2019,PerspectiveNet: A Scene-consistent Image Generator for New View Synthesis in Real Indoor Environments,Facebook AI Research
2019,End to end learning and optimization on graphs,"PhD Student in Computer Science, Harvard University"
2019,Robust Bi-Tempered Logistic Loss Based on Bregman Divergences,Research Scientist at Google
2019,Non-Asymptotic Pure Exploration by Solving Games,INRIA Lille
2019,Perceiving the arrow of time in autoregressive motion,University of Tübingen & Max Planck Institute for Intelligent Systems Empirical Inference …
2019,Decentralized sketching of low rank matrices,"PhD candidate, Georgia Institute of Technology"
2019,Private Testing of Distributions via Sample Permutations,University of Massachusetts Amherst
2019,Selecting Optimal Decisions via Distributionally Robust Nearest-Neighbor Regression,"PhD, Systems Engineering, Boston University"
2019,Adapting Neural Networks for the Estimation of Treatment Effects,"PhD Student, Columbia University"
2019,Solving graph compression via optimal transport,Massachusetts Institute of Technology (MIT)
2019,Incremental Scene Synthesis,Siemens Technology
2019,Computing Linear Restrictions of Neural Networks,Stanford University
2019,Limiting Extrapolation in Linear Approximate Value Iteration,"Postdoctoral Scholar, UC Berkeley"
2019,Finding Friend and Foe in Multi-Agent Games,Massachusetts Institute of Technology
2019,Layer-Dependent Importance Sampling for Training Deep and Large Graph Convolutional Networks,"University of California, Los Angeles"
2019,Data Parameters: A New Family of Parameters for Learning a Differentiable Curriculum,Apple Inc
2019,Multi-Resolution Weak Supervision for Sequential Data,"Graduate Student, Stanford University"
2019,Maximum Mean Discrepancy Gradient Flow,Inria - Univ. Grenoble Alpes
2019,Causal Confusion in Imitation Learning,"Qualcomm AI Research, University of Amsterdam"
2019,MCP: Learning Composable Hierarchical Control with Multiplicative Compositional Policies,"University of California, Berkeley"
2019,Screening Sinkhorn Algorithm for Regularized Optimal Transport,LMAC Laboratory - University of Technology of Compiègne
2019,Learning Deep Bilinear Transformation for Fine-grained Image Representation,USTC
2019,Learning Compositional Neural Programs with Recursive Tree Search and Planning,"InstaDeep, Sorbonne Université"
2019,Efficient and Accurate Estimation of Lipschitz Constants for Deep Neural Networks,"Assistant Professor, Johns Hopkins University"
2019,Bipartite expander Hopfield networks as self-decoding high-capacity error correcting codes,"Assistant Professor, University of California, Davis"
2019,Provably Global Convergence of Actor-Critic: A Case for Linear Quadratic Regulator with Ergodic Cost,Princeton University
2019,Deep ReLU Networks Have Surprisingly Few Activation Patterns,"Assistant Professor, Princeton ORFE"
2019,ObjectNet: A large-scale bias-controlled dataset for pushing the limits of object recognition models,"MIT, CSAIL"
2019,The Point Where Reality Meets Fantasy: Mixed Adversarial Generators for Image Splice Detection,
2019,Recovering Bandits,Imperial College London
2019,A neurally plausible model for online recognition and postdiction in a dynamical environment,"Gatsby Unit, University College London"
2019,Importance Resampling for Off-policy Prediction,University of Alberta
2019,MaxGap Bandit: Adaptive Algorithms for Approximate Ranking,Amazon
2019,Exact Rate-Distortion in Autoencoders via Echo Noise,University of Southern California
2019,BIVA: A Very Deep Hierarchy of Latent Variables for Generative Modeling,Co-Founder & CTO at Corti | Adj. Assoc. Professor of Machine Learning
2019,Bridging Machine Learning and Logical Reasoning by Abductive Learning,Imperial College London
2019,Variational Structured Semantic Inference for Diverse Image Captioning,"Research Fellow, NUS"
2019,Input-Output Equivalence of Unitary and Contractive RNNs,"Ph.D. Candidate, Electrical and Computer Engineering, UCLA"
2019,Latent Weights Do Not Exist: Rethinking Binarized Neural Network Optimization,Vrije Universiteit
2019,Continuous-time Models for Stochastic Optimization Algorithms,"PhD student, ETH Zürich"
2019,A Zero-Positive Learning Approach for Diagnosing Software Performance Regressions,"Software Engineer, Google"
2019,Non-normal Recurrent Neural Network (nnRNN): learning long time dependencies while improving expressivity with transient dynamics,"PhD Student, MILA, Université de Montréal"
2019,Large Memory Layers with Product Keys,"Research Scientist, Facebook AI Research"
2019,AttentionXML: Label Tree-based Attention-Aware Deep Model for High-Performance Extreme Multi-Label Text Classification,Fudan University
2019,Policy Learning for Fairness in Ranking,"Applied Research Scientist, Pinterest Inc."
2019,Integer Discrete Flows and Lossless Compression,"PhD Student, University of Amsterdam"
2019,Generative Well-intentioned Networks,"Research Engineer, Google Health Genomics"
2019,An Embedding Framework for Consistent Polyhedral Surrogates,University of Colorado Boulder
2019,The Normalization Method for Alleviating Pathological Sharpness in Wide Neural Networks,AIST (National Institute of Advanced Industrial Science and Technology)
2019,Reconciling λ-Returns with Experience Replay,Northeastern University
2019,Finite-Sample Analysis for SARSA with Linear Function Approximation,"Assistant Professor, University at Buffalo the State University of New York"
2019,Network Pruning via Transformable Architecture Search,University of Technology Sydney
2019,Selective Sampling-based Scalable Sparse Subspace Clustering,The University of Tokyo
2019,On the Expressive Power of Deep Polynomial Neural Networks,"Assistant Professor, University of Texas at Austin"
2019,BehaveNet: nonlinear embedding and Bayesian neural decoding of behavioral videos,Columbia University
2019,Accurate Layerwise Interpretable Competence Estimation,The Johns Hopkins University Applied Physics Laboratory
2019,On the Global Convergence of (Fast) Incremental Expectation Maximization Methods,"Baidu Research USA, CCL"
2019,Gossip-based Actor-Learner Architectures for Deep Reinforcement Learning,PhD student at McGill University; Mila
2019,Learning Latent Process from High-Dimensional Event Sequences via Efficient Sampling,Shanghai Jiao Tong University
2019,Using Self-Supervised Learning Can Improve Model Robustness and Uncertainty,"PhD Student, UC Berkeley"
2019,Space and Time Efficient Kernel Density Estimation in High Dimensions,Microsoft Research
2019,One ticket to win them all: generalizing lottery ticket initializations across datasets and optimizers,"Research Scientist, Facebook AI Research"
2019,Symmetry-adapted generation of 3d point sets for the targeted discovery of molecules,"Ph.D. student at Machine Learning Group, TU Berlin"
2019,Combining Generative and Discriminative Models for Hybrid Inference,University of Amsterdam
2019,Region Mutual Information Loss for Semantic Segmentation,University of Connecticut
2019,Variational Graph Recurrent Neural Networks,"AI Research Scientist, AstraZeneca"
2019,Stochastic Bandits with Context Distributions,ETH Zurich
2019,Training Language GANs from Scratch,DeepMind
2019,Foundations of Comparison-Based Hierarchical Clustering,Technical University of Munich
2019,On the Accuracy of Influence Functions for Measuring Group Effects,Stanford University
2019,Neural Similarity Learning,"University of Cambridge, MPI Tübingen"
2019,Multi-objective Bayesian optimisation with preferences over objectives,"Associate research fellow  @ Applied Artificial Intelligence Institute (A²I²), Deakin University"
2019,The Case for Evaluating Causal Models Using Interventional Measures and Empirical Data,"PhD Candidate, University of Massachusetts Amherst"
2019,Spatially Aggregated Gaussian Processes with Multivariate Areal Outputs,NTT
2019,Seeing the Wind: Visual Wind Speed Prediction with a Coupled Convolutional and Recurrent Neural Network,"PhD Candidate in Mechanical Engineering, Stanford University"
2019,Hyper-Graph-Network Decoders for Block Codes,Tel-Aviv University & Facebook AI Research (FAIR)
2019,Coordinated hippocampal-entorhinal replay as structural inference,Imperial College London
2019,Invert to Learn to Invert,University of Amsterdam
2019,Optimal Sparse Decision Trees,"PhD Student, Carnegie Mellon University"
2019,This Looks Like That: Deep Learning for Interpretable Image Recognition,"Assistant Professor in Computer Science, the University of Maine"
2019,Fast Parallel Algorithms for Statistical Subset Selection Problems,"Applied Math PhD Student, Harvard University"
2019,On Lazy Training in Differentiable Programming,EPFL
2019,Using Embeddings to Correct for Unobserved Confounding in Networks,"University of Chicago, Google"
2019,Emergence of Object Segmentation in Perturbed Generative Models,University of Bern
2019,On the Optimality of Perturbations in Stochastic and Adversarial Multi-armed Bandit Problems,"Twitter Inc, PhD in Statistics, University of Michigan"
2019,Deep imitation learning for molecular inverse problems,"Assistant Professor, UChicago CS"
2019,Ease-of-Teaching and Language Structure from Emergent Communication,Amazon
2019,Distributed estimation of the inverse Hessian by determinantal averaging,Assistant Professor at University of Michigan
2019,muSSP: Efficient Min-cost Flow Algorithm for Multi-object Tracking,Virginia Tech
2019,Controlling Neural Level Sets,Weizmann Institute of Science
2019,Learning GANs and Ensembles Using Discrepancy,Google Research
2019,Neural Relational Inference with Fast Modular Meta-learning,MIT
2019,Identification of Conditional Causal Effects under Markov Equivalence,"PhD Student, Purdue University"
2019,Learning to Predict Layout-to-image Conditional Convolutions for Semantic Image Synthesis,UC Berkeley
2019,Piecewise Strong Convexity of Neural Networks,"PhD Candidate, University of Toronto"
2019,No Pressure! Addressing the Problem of Local Minima in Manifold Learning Algorithms,Google Research
2019,Approximate Inference Turns Deep Networks into Gaussian Processes,"Center for Advanced Intelligence Project (AIP), RIKEN, Tokyo"
2019,SGD on Neural Networks Learns Functions of Increasing Complexity,"PhD student, Harvard University"
2019,Visualizing the PHATE of Neural Networks,"Senior Machine Learning Scientist, Immunai"
2019,Gate Decorator: Global Filter Pruning Method for Accelerating Deep Convolutional Neural Networks,Peking University
2019,Practical Deep Learning with Bayesian Principles,ETH Zurich
2019,Deep Active Learning with a Neural Architecture Search,Technion - Israel Institute of Technology
2019,Quality Aware Generative Adversarial Networks,"Indian Institute of Technology, Hyderabad"
2019,Off-Policy Evaluation via Off-Policy Classification,Google Brain
2019,Variational Temporal Abstraction,Amazon Web Services
2019,Scene Representation Networks: Continuous 3D-Structure-Aware Neural Scene Representations,Incoming Assistant Professor at MIT CSAIL.
2019,Control What You Can: Intrinsically Motivated Task-Planning Agent,"PhD Student, Max-Planck Institute for Intelligent Systems"
2019,Adversarial Self-Defense for Cycle-Consistent GANs,Boston University
2019,Ultrametric Fitting by Gradient Descent,"Assistant professor, Université Paris Est, ESIEE Paris"
2019,PerspectiveNet: 3D Object Detection from a Single RGB Image via Perspective Points,"University of California, Los Angeles"
2019,Beyond Confidence Regions: Tight Bayesian Ambiguity Sets for Robust MDPs,University of New Hampshire
2019,Spatial-Aware Feature Aggregation for Image based Cross-View Geo-Localization,Australian National University
2019,Leveraging Labeled and Unlabeled Data for Consistent Fair Binary Classification,Université Paris-Saclay
2019,Minimum Stein Discrepancy Estimators,University of Cambridge
2019,Explanations can be manipulated and geometry is to blame,TU-Berlin
2019,Input-Cell Attention Reduces Vanishing Saliency of Recurrent Neural Networks,University of Maryland College Park
2019,Paradoxes in Fair Machine Learning,Carnegie Mellon University
2019,Learning Conditional Deformable Templates with Convolutional Networks,Harvard Medical School & Massachusetts Institute of Technology
2019,Volumetric Correspondence Networks for Optical Flow,Carnegie Mellon University
2019,Variance Reduction in Bipartite Experiments through Correlation Clustering,Google Research
2019,Attribution-Based Confidence Metric For Deep Neural Networks,"Principal Scientist, SRI International"
2019,Are Disentangled Representations Helpful for Abstract Visual Reasoning?,Postdoctoral Researcher at the Swiss AI Lab IDSIA
2019,Beyond Alternating Updates for Matrix Factorization with Inertial Bregman Proximal Gradient Algorithms,"Mathematical Optimization Group, University of Tübingen"
2019,Towards Explaining the Regularization Effect of Initial Large Learning Rate in Training Neural Networks,Assistant Professor at CMU
2019,"PyTorch: An Imperative Style, High-Performance Deep Learning Library",Google
2019,Learning to Infer Implicit Surfaces without 3D Supervision,University of Southern California
2019,Are Labels Required for Improving Adversarial Robustness?,"DeepMind, London"
2019,Stochastic Frank-Wolfe for Composite Convex Minimization,"Senior Applied Scientist, Amazon AWS"
2019,Modeling Dynamic Functional Connectivity with Latent Factor Gaussian Processes,"University of California, Irvine"
2019,ETNet: Error Transition Network for Arbitrary Style Transfer,Shenzhen University
2019,Cross-lingual Language Model Pretraining,Google
2019,Icebreaker: Element-wise Efficient Information Acquisition with a Bayesian Deep Latent Gaussian Model,University of Cambridge
2019,Efficient and Thrifty Voting by Any Means Necessary,Max Planck Institute for Software Systems
2019,Crowdsourcing via Pairwise Co-occurrences: Identifiability and Algorithms,Oregon State University
2019,Limitations of Lazy Training of Two-layers Neural Network,"Software Engineer, Google Research"
2019,Scalable Bayesian inference of dendritic voltage via spatiotemporal recurrent state space models,"Columbia University, Google"
2019,Constrained Reinforcement Learning Has Zero Duality Gap,Rensselaer Polytechnic Institute
2019,Metric Learning for Adversarial Robustness,"PhD student at CS, Columbia University"
2019,Learning to Control Self-Assembling Morphologies: A Study of Generalization via Modularity,"Assistant Professor, Carnegie Mellon University"
2019,Alleviating Label Switching with Optimal Transport,Ecole Normale Supérieure
2019,Domes to Drones: Self-Supervised Active Triangulation for 3D Human Pose Reconstruction,RISE Research Institutes of Sweden
2019,SIC-MMAB: Synchronisation Involves Communication in Multiplayer Multi-Armed Bandits,"Postdoc, EPFL"
2019,A Step Toward Quantifying Independently Reproducible Machine Learning Research,Booz Allen Hamilton
2019,Manipulating a Learning Defender and Ways to Counteract,Max Planck Institute for Software Systems (MPI-SWS)
2019,Privacy Amplification by Mixing and Diffusion Mechanisms,DeepMind
2019,Ultra Fast Medoid Identification via Correlated Sequential Halving,"Graduate Student, Stanford University"
2019,On the Inductive Bias of Neural Tangent Kernels,NYU
2019,Implicit Regularization of Accelerated Methods in Hilbert Spaces,Università degli studi di Genova
2019,Transfer Learning via Minimizing the Performance Gap Between Domains,"Department of Computer Science, University of Western Ontario"
2019,ViLBERT: Pretraining Task-Agnostic Visiolinguistic Representations for Vision-and-Language Tasks,"Research Scientist, Allen Institute of Artificial Intelligence"
2019,Planning with Goal-Conditioned Policies,The University of Texas at Austin
2019,Goal-conditioned Imitation Learning,"Undergraduate, Computer Science, University of California, Berkeley"
2019,Superset Technique for Approximate Recovery in One-Bit Compressed Sensing,"Ph.D., Univerity of Massachusetts Amherst"
2019,Iterative Least Trimmed Squares for Mixed Linear Regression,University of Texas at Austin
2019,Time-series Generative Adversarial Networks,Research Scientist at Google Cloud AI
2019,Learning Nonsymmetric Determinantal Point Processes,"Senior Researcher, Criteo AI Lab"
2019,Quantum Embedding of Knowledge for Reasoning,"IBM India Research Lab, Bangalore, India"
2019,Online Normalization for Training Neural Networks,"Machine Learning Team, Cerebras Systems"
2019,Equitable Stable Matchings in Quadratic Time,Northeastern University
2019,A New Defense Against Adversarial Images: Turning a Weakness into a Strength,Carnegie Mellon University
2019,Break the Ceiling: Stronger Multi-scale Deep Graph Convolutional Networks,"McGill University, Mila"
2019,On Human-Aligned Risk Minimization,"Ph.D. Student, Machine Learning Department, School of Computer Science, Carnegie …"
2019,Robustness Verification of Tree-based Models,"PhD, MIT EECS"
2019,Multi-label Co-regularization for Semi-supervised Facial Action Unit Recognition,Institute of Computing Technology
2019,A Primal Dual Formulation For Deep Learning With Constraints,IIT Delhi
2019,DualDICE: Behavior-Agnostic Estimation of Discounted Stationary Distribution Corrections,Google Brain
2019,Intrinsic dimension of data representations in deep neural networks,"AREA Science Park, Research and Technology Institute"
2019,Data-driven Estimation of Sinusoid Frequencies,Facebook AI Research / École normale supérieure
2019,Discovering Neural Wirings,University of Washington
2019,Locally Private Learning without Interaction Requires Separation,Hebrew University
2019,Fixing the train-test resolution discrepancy,Facebook AI Research
2019,Quadratic Video Interpolation,Nanyang Technological University
2019,Efficient Graph Generation with Graph Recurrent Attention Networks,University of Toronto
2019,Social-BiGAT: Multimodal Trajectory Forecasting using Bicycle-GAN and Graph Attention Networks,Stanford University
2019,Re-examination of the Role of Latent Variables in Sequence Modeling,Carnegie Mellon University
2019,Consistency-based Semi-supervised Learning for Object detection,Qualcomm AI research
2019,Kernel Truncated Randomized Ridge Regression: Optimal Rates and Low Noise Acceleration,The University of Arizona
2019,Exact Combinatorial Optimization with Graph Convolutional Neural Networks,Polytechnique Montréal
2019,Comparing Unsupervised Word Translation Methods Step by Step,University of Copenhagen
2019,"Learn, Imagine and Create: Text-to-Image Generation from Prior Knowledge","Zhejiang University, The university of Sydney, Delft University of Technology"
2019,Compiler Auto-Vectorization with Imitation Learning,University of Illinois at Urbana-Champaign
2019,Fast Sparse Group Lasso,NTT
2019,Deep Random Splines for Point Process Intensity Estimation of Neural Population Data,Layer 6 AI
2019,Deep Signature Transforms,"Postgraduate Research Student, University of Oxford"
2019,Guided Meta-Policy Search,Carnegie Mellon University
2019,Learning elementary structures for 3D shape generation and matching,ENPC Paris Tech
2019,Learning Disentangled Representation for Robust Person Re-identification,Yonsei University
2019,On Testing for Biases in Peer Review,Carnegie Mellon University
2019,Learning Deterministic Weighted Automata with Queries and Counterexamples,Technion - Israel Institute of Technology
2019,Making the Cut: A Bandit-based Approach to Tiered Interviewing,University of Maryland
2019,Manifold-regression to predict from MEG/EEG brain signals without source modeling,INRIA
